"base_experience","height","id","order","sprites","types","weight","name","bmi"
64,7,1,1,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",69,"Bulbasaur",98.57142857142857
142,10,2,2,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",130,"Ivysaur",130
263,20,3,3,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",1000,"Venusaur",500
62,6,4,5,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",85,"Charmander",141.66666666666669
142,11,5,6,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",190,"Charmeleon",172.72727272727272
267,17,6,7,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png""}","[{""slot"":1,""type"":{""name"":""fire""}},{""slot"":2,""type"":{""name"":""flying""}}]",905,"Charizard",532.3529411764705
63,5,7,10,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",90,"Squirtle",180
142,10,8,11,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",225,"Wartortle",225
265,16,9,12,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",855,"Blastoise",534.375
72,7,11,15,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png""}","[{""slot"":1,""type"":{""name"":""bug""}}]",99,"Metapod",141.42857142857142
39,3,10,14,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png""}","[{""slot"":1,""type"":{""name"":""bug""}}]",29,"Caterpie",96.66666666666669
198,11,12,16,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""flying""}}]",320,"Butterfree",290.90909090909093
